simulation_id,attack_id,cost
927,1,83832771.19641528
927,2,79826199.4703854
931,1,94840500.89438441
932,1,102398809.35687913
932,2,104367924.55293635
936,1,94254805.56034867
939,1,125597775.54215083
944,1,106026260.0577783
944,2,91611466.42103045
947,1,92721669.50644116
950,1,98618875.02350192
952,1,107149690.65274608
954,1,97667256.6414859
957,1,102613397.6723145
958,1,101262080.70142414
959,1,90844276.22818534
960,1,94211835.73019888
960,2,107698388.88397989
960,3,93734440.72590837
963,1,116879623.97653255
968,1,111187674.61715904
968,2,89036900.27472304
970,1,109742130.98978817
973,1,98823425.10693255
974,1,101570942.59913556
977,1,91587457.67271714
979,1,107082608.99833982
982,1,96899440.47998747
985,1,93510459.80909319
986,1,96633919.55392657
989,1,92828821.7995872
990,1,97971575.7254859
992,1,100543027.17219177
992,2,104793237.4845773
993,1,89896850.77133521
993,2,107179250.74558693
996,1,119636887.90114443
999,1,107113661.40635645
999,2,108979147.086332
999,3,89589844.91058137
1000,1,104015603.78679068
1000,2,101926500.71989948
1003,1,65617443.28917021
1004,1,100329843.69311966
1004,2,115574256.97942637
1005,1,107624381.31532668
1007,1,94375456.86529881
1009,1,97952065.48334976
1010,1,111741228.75069016
1010,2,89415404.59521936
1015,1,116700931.21721344
1015,2,129806293.85355651
1017,1,102926811.01307905
1018,1,91540990.62483451
1024,1,88762926.32810175
1027,1,111323139.5781487
1030,1,104240166.02775659
1031,1,85757812.1895532
1033,1,106917647.00017425
1035,1,103213018.29088989
1036,1,93257337.40988119
1040,1,102163571.80359288
1040,2,109323787.6100228
1041,1,104903895.31294914
1044,1,95551289.8649541
1045,1,122085301.58029519
1045,2,102462789.85362282
1047,1,98501574.84525415
1051,1,96015121.86886035
1051,2,100589162.94010131
1051,3,99414372.14062321
1051,4,104775990.0001923
1054,1,95340283.97628082
1054,2,96414538.03779808
1058,1,106964867.59275103
1059,1,105106409.70985909
1059,2,83995600.70809098
1061,1,105244066.93997319
1064,1,110634085.2750778
1064,2,112098571.21948467
1067,1,91647663.74948235
1070,1,92797106.33201876
1070,2,111838095.96356465
1071,1,94883405.67943819
1072,1,99868305.23839132
1073,1,95207934.43232726
1074,1,114126988.07441285
1074,2,91324238.65377739
1076,1,114859620.90810764
1081,1,97948952.12741262
1083,1,107326935.74819343
1085,1,109765433.898115
1087,1,106746763.633181
1088,1,102509465.20052856
1090,1,95512789.63340172
1090,2,110389119.92443097
1092,1,91936603.41675483
1092,2,105776698.81502195
1092,3,99895716.5843119
1094,1,97445606.89630754
1094,2,90575674.06969647
1095,1,93705300.97150305
1096,1,102686879.52801956
1097,1,103563899.43924297
1098,1,112289928.43857089
1099,1,92913808.33400488
1100,1,94319131.26726183
1101,1,112053807.82759814
1103,1,109131622.83010142
1105,1,98770235.31733942
1108,1,95600298.96631426
1108,2,110971194.261765
1109,1,86072273.62348378
1112,1,111813957.0838585
1113,1,79960919.6852861
1115,1,95948742.16155185
1116,1,99731964.36423488
1122,1,95035687.21120487
1122,2,90651011.33360119
1123,1,112301996.21633583
1125,1,102566574.68913373
1126,1,85535025.53460501
1130,1,106246102.50656225
1132,1,95180249.28675853
1132,2,102355815.00078827
1134,1,107885356.48700543
1134,2,97121652.02110417
1134,3,103776018.67538026
1136,1,93325401.29635322
